speciesId,formKey,nameZh,alternate,normalStatus,shinyStatus,normalUrls,shinyUrls
116,horsea,墨海马,False,no_mapped_index_entry,no_mapped_index_entry,,
117,seadra,海刺龙,False,no_mapped_index_entry,no_mapped_index_entry,,
118,goldeen,角金鱼,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/goldeen.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/goldeen-s.gif
119,seaking,金鱼王,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/seaking.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/seaking-s.gif
120,staryu,海星星,False,no_mapped_index_entry,no_mapped_index_entry,,
121,starmie,宝石海星,False,no_mapped_index_entry,no_mapped_index_entry,,
122,mr-mime,魔墙人偶,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/mr._mime.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/mr._mime-s.gif
123,scyther,飞天螳螂,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/scyther.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/scyther-s.gif
124,jynx,迷唇姐,False,no_mapped_index_entry,no_mapped_index_entry,,
125,electabuzz,电击兽,False,no_mapped_index_entry,no_mapped_index_entry,,
126,magmar,鸭嘴火兽,False,no_mapped_index_entry,no_mapped_index_entry,,
127,pinsir,凯罗斯,False,no_mapped_index_entry,no_mapped_index_entry,,
128,tauros,肯泰罗,False,no_mapped_index_entry,no_mapped_index_entry,,
129,magikarp,鲤鱼王,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/magikarp.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/magikarp-s.gif
130,gyarados,暴鲤龙,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/gyarados.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/gyarados-s.gif
